1,45,"Chill Session"
2,7,"Workout Mix"
3,94,"Late Night Vibes"
4,23,"Morning Energy"
5,81,"Study Playlist"
6,63,"Party Mix"
7,12,"Relaxing Sounds"
8,87,"Road Trip Tunes"
9,28,"Throwback Jams"
10,52,"Motivation Mix"
11,67,"Summer Hits"
12,39,"Acoustic Sessions"
13,71,"Pop Anthems"
14,14,"R&B Grooves"
15,98,"Electronic Beats"
16,76,"Hip Hop Hooray"
17,36,"Indie Vibes"
18,91,"Jazz Time"
19,25,"Piano Melodies"
20,69,"Country Roads"
21,50,"90s Nostalgia"
22,83,"Rock Classics"
23,30,"Soulful Sounds"
24,73,"Latin Flavor"
25,17,"Reggae Rhythms"
26,96,"Classical Collection"
27,60,"Metal Mayhem"
28,43,"Funky Grooves"
29,89,"Gospel Joy"
30,32,"Blues Brothers"
31,78,"Opera Nights"
32,21,"K-Pop Craze"
33,64,"Arabic Beats"
34,9,"French Flair"
35,85,"Afrobeat Explosion"
36,26,"Israeli Sounds"
37,70,"Bollywood Blast"
38,15,"Chinese Charm"
39,99,"German Gems"
40,58,"Russian Rhapsody"
41,34,"Swedish Serenade"
42,79,"Spanish Sizzle"
43,20,"Dancehall Fever"
44,62,"Australian Anthems"
45,3,"African Adventure"
46,92,"Hawaiian Hula"
47,48,"Caribbean Vibes"
48,80,"Brazilian Beats"
49,37,"Irish Inspiration"
50,86,"Japanese Jams"
51,13,"Roadtrip Mix"
52,79,"Summer Bangers"
53,21,"Dance Party"
54,62,"Throwback Jams"
55,92,"Biggest Hits"
56,92,"Chill Vibes"
57,38,"Relaxing Tunes"
58,84,"Feel Good Mix"
59,29,"Beach Party"
60,55,"Energetic Beats"
61,3,"Nighttime Chill"
62,68,"Motivational Mix"
63,9,"Driving Tunes"
64,50,"Study Sessions"
65,96,"Hip Hop Heat"
66,19,"Country Classics"
67,73,"Party Mix"
68,43,"Relaxing Afternoon"
69,81,"Soothing Sounds"
70,60,"Weekend Jams"
71,36,"Summer Nights"
72,89,"Road Trip"
73,18,"Coffee Shop Tunes"
74,63,"Classic Rock"
75,24,"Soulful Grooves"
76,51,"Rap Essentials"
77,98,"Late Night R&B"
78,45,"Pop Party"
79,83,"Summer Hits"
80,26,"Rainy Days"
81,66,"Rap Heat"
82,10,"80's Classics"
83,56,"Chillout Zone"
84,93,"Morning Mix"
85,40,"Feel Good Tunes"
86,76,"Throwback Thursday"
87,27,"Workout Mix"
88,64,"Instrumental Focus"
89,15,"Festival Anthems"
90,49,"R&B Love Songs"
91,97,"Acoustic Sessions"
92,18,"Mellow Vibes"
93,37,"Alternative Rock"
94,64,"EDM Party Mix"
95,33,"Classical Relaxation"
96,79,"Throwback Hits"
97,27,"Hip Hop Essentials"
98,56,"Upbeat Pop"
99,42,"Indie Folk"
100,88,"Electronic Dance"
